,pair,pvalue,hurst_exp,half_life,avg_cross_count,SharpeRatio,Annualised Return(%),Max Drawdown(%),Annualised Volatility(%)
4,"('comms-comms - AMX.csv', 'comms-comms - RELX.csv')",2.4788517046333588e-24,-0.006052098366652053,117.07473399314486,132.50860927152317,1.822888049958755,4.722449949571688,13.46765150457764,12.42360861605363
16,"('comms-comms - AMX.csv', 'conscycl-conscycl - SBUX.csv')",2.775241211457427e-22,0.0023393386982159103,106.31415731716172,129.33774834437085,3.96336936061892,11.460154721949365,18.258897616419006,11.769534258940109
32,"('comms-comms - AMX.csv', 'consdef-consdef - PEP.csv')",5.229755140822254e-21,0.002759323723704819,111.79263755279155,129.33774834437085,2.4996938635711374,4.841371224262495,10.28824907139442,11.710814587599813
33,"('comms-comms - AMX.csv', 'consdef-consdef - PG.csv')",5.582688150046523e-23,0.0018590919713600978,121.05667757143641,127.66887417218543,5.204245220208517,3.821809373657677,12.907749950119674,12.63861164589439
38,"('comms-comms - AMX.csv', 'consdef-consdef - WMT.csv')",1.246935163981434e-19,0.0023522868721572144,196.28783695192985,134.34437086092714,3.466246674726023,15.455565321816808,9.971368903088178,13.403826584172496
44,"('comms-comms - AMX.csv', 'financials-financials - SPGI.csv')",4.385980474749537e-15,0.0019202458446844442,106.71028185223781,125.6662251655629,2.5515395803693925,11.012015271914184,12.84505200527596,12.1906697437914
48,"('comms-comms - AMX.csv', 'health-health - ABT.csv')",7.20094836446929e-14,-0.0006779850979530737,112.34546939451874,129.83841059602648,1.5553122509856605,10.916049674711461,10.569454238759612,12.807063926261186
70,"('comms-comms - AMX.csv', 'industrials-industrials - GD.csv')",8.992755842006528e-18,-0.0015704243280601651,113.27172353780725,125.33245033112583,3.239095384117934,6.029895750787932,17.007788103171013,12.789045452876522
75,"('comms-comms - AMX.csv', 'industrials-industrials - WM.csv')",3.79623927234992e-17,0.0011183761476200298,115.3311326600614,135.34569536423842,2.1047681337044413,4.615699906640871,16.277506325858685,12.332724986103619
77,"('comms-comms - AMX.csv', 'materials-materials - ECL.csv')",9.585185755921136e-27,-0.0004061485251482411,80.90877751897939,129.33774834437085,4.174578633403884,7.461595875704215,16.447754559755612,12.629043831792034
85,"('comms-comms - AMX.csv', 'tech-tech - ORCL.csv')",1.503680532566047e-23,0.0029283798842375335,96.05150155204126,130.6728476821192,1.7458086425346289,10.345824805720243,13.699957451036756,12.461811212718668
