,pair,pvalue,hurst_exp,half_life,avg_cross_count,SharpeRatio,Annualised Return(%),Max Drawdown(%),Annualised Volatility(%)
190,"('comms-comms - ATVI.csv', 'comms-comms - BCE.csv')",2.266747126510739e-10,0.004258623138702798,112.70586606583363,133.0092715231788,9.623299372630386,9.979480371729316,13.946643740323717,15.951185662316513
201,"('comms-comms - ATVI.csv', 'comms-comms - TMUS.csv')",1.1026165788783863e-10,0.005210201394086336,109.79135985330517,133.3430463576159,3.9522105002131527,6.118077728119417,18.602669487714977,15.11295892561238
221,"('comms-comms - ATVI.csv', 'consdef-consdef - BTI.csv')",1.2814280074742539e-11,0.003559867155717672,111.61725653834179,133.0092715231788,1.9285175422944008,14.346693839957519,14.200462606711744,19.60608923775277
223,"('comms-comms - ATVI.csv', 'consdef-consdef - CL.csv')",5.4049950814014476e-11,0.004179830046208376,112.9257012177522,130.6728476821192,4.422398623307513,3.8091328274410565,10.395190189036773,13.942324888584409
232,"('comms-comms - ATVI.csv', 'consdef-consdef - MO.csv')",7.143598800671125e-11,0.004094012114942508,114.34055027774062,131.34039735099338,3.375018164493177,3.502285286300487,20.01562173907543,19.567080105324827
242,"('comms-comms - ATVI.csv', 'energy-energy - COP.csv')",4.6644596750425764e-11,0.0033550377738298183,114.31244606761624,131.0066225165563,2.5217762027966892,13.911065440687734,19.533473912703425,20.772526026296553
245,"('comms-comms - ATVI.csv', 'energy-energy - EOG.csv')",3.2075345008605375e-11,0.0033580083763266617,114.61484239983255,128.6701986754967,4.632910783487938,6.898687968345511,23.65964616973784,25.104728513013807
246,"('comms-comms - ATVI.csv', 'energy-energy - EPD.csv')",3.814314089862358e-11,0.0034657104642960676,115.11120139552565,130.6728476821192,1.8839716628917933,8.602893708396461,14.249601864662463,17.22931768075927
247,"('comms-comms - ATVI.csv', 'energy-energy - EQNR.csv')",4.244587855248342e-11,0.0034985642718003787,114.79399916775073,129.67152317880794,3.3286536922093912,18.459464391128442,14.45385299756845,25.961115696229925
250,"('comms-comms - ATVI.csv', 'energy-energy - PXD.csv')",2.0382416512095572e-11,0.0031185587309233076,114.58637321949846,132.00794701986754,5.3354204897825666,11.659698679812912,25.378816490958712,26.649548181255728
251,"('comms-comms - ATVI.csv', 'energy-energy - SHEL.csv')",5.5237835260289536e-11,0.0030166910236151803,114.74170958886475,129.33774834437085,4.416608061882259,3.8412103686413075,13.130790481130658,16.701789391825315
262,"('comms-comms - ATVI.csv', 'financials-financials - BX.csv')",9.151608379644825e-11,0.004066737032939882,110.1046745227693,132.34172185430464,1.8965046840447177,20.40064073051647,22.24336023330528,22.498889404637506
264,"('comms-comms - ATVI.csv', 'financials-financials - GS.csv')",3.030926629780828e-11,0.003068274061858148,110.63296674940712,130.6728476821192,2.262446955232424,4.297820139080001,16.709333736332574,15.199260582374915
268,"('comms-comms - ATVI.csv', 'financials-financials - MA.csv')",7.250306990848346e-11,0.0023133875688845676,106.94548746036418,129.17086092715232,3.7190495367972125,3.9110390123196885,16.5405121099862,16.225552886625223
269,"('comms-comms - ATVI.csv', 'financials-financials - MS.csv')",7.701274105823707e-11,0.0030248025096927867,110.96394670937069,131.67417218543045,1.576859095752086,6.45798606820511,15.815063961936108,16.355339374027476
278,"('comms-comms - ATVI.csv', 'health-health - AMGN.csv')",1.55879662228416e-22,0.004340670022203672,109.00888365047746,128.0026490066225,6.24277564277555,11.567229877001823,10.304728482024691,15.037774921642866
299,"('comms-comms - ATVI.csv', 'industrials-industrials - CNI.csv')",5.376397430572844e-11,0.0030344242035617087,109.84922552862986,130.50596026490066,1.9052798146400427,12.541932457806507,17.100060094929148,15.056302415266437
303,"('comms-comms - ATVI.csv', 'industrials-industrials - ETN.csv')",1.8593194666595034e-11,0.003606481502697772,112.44447278716744,129.0039735099338,8.187462439043715,2.720953663152385,15.621622550369205,14.201750983388854
316,"('comms-comms - ATVI.csv', 'materials-materials - ALB.csv')",4.1768786939939074e-11,0.0037449745712161754,112.21988911376786,128.6701986754967,5.530169517543714,26.981881879335923,24.80703672455021,22.69301179238786
325,"('comms-comms - ATVI.csv', 'materials-materials - SQM.csv')",3.5162967276894036e-11,0.003880094545025072,114.1472531691188,131.67417218543045,6.708118101360092,51.38569295314412,18.095107169652827,32.49672074135182
329,"('comms-comms - ATVI.csv', 'realestate-realestate - CBRE.csv')",1.2743440209587299e-10,0.003126222108482461,112.90540084876835,131.67417218543045,4.692695275948092,4.301060205154549,17.05185474721329,16.30048669475238
354,"('comms-comms - ATVI.csv', 'tech-tech - NOW.csv')",2.1916590775873946e-10,0.004129748695204054,104.14500836532538,127.66887417218543,3.4518535160397064,16.701729838977467,18.75086788075652,20.48470817822377
360,"('comms-comms - ATVI.csv', 'tech-tech - TXN.csv')",2.6396497349165504e-11,0.0043370296804230435,103.8226501782144,132.00794701986754,1.553281706003081,8.648340312335339,10.877065810680143,16.332311085335927
